,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-07-08 08:05:53,2021-07-06 13:34:56,1101,55,1128,11089,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,555714.0,555714.0,305,https://pypi.org/project/click,68459319,68459319,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-07-07 19:57:02,2021-07-06 21:08:50,280,301,1175,653,2021-05-03 15:20:07,2.9.0,17.0,Pygments is a generic syntax highlighter written in Python.,233371.0,233371.0,638,https://pypi.org/project/Pygments,25205702,25205702,36,True,2,5593.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-07-07 18:49:54,2021-07-07 14:16:30,570,55,368,7459,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,20517.0,20517.0,242,https://pypi.org/project/arrow,4177756,4177756,35,True,1,1299.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-07-08 08:43:48,2021-07-08 08:43:48,360,208,358,1603,2019-11-03 05:39:42,2.8.1,17.0,Useful extensions to the standard Python datetime features.,517495.0,517495.0,123,https://pypi.org/project/python-dateutil,98788222,98788676,34,True,2,1536.0,34523.0,-1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-07 21:43:01,2021-07-07 21:42:53,800,4,469,27429,2021-07-05 14:43:20,10.5.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5131.0,5131.0,95,https://pypi.org/project/rich,1810552,1810552,33,True,2,2075.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-07 21:43:01,2021-07-07 21:42:53,800,4,469,27429,2021-07-05 14:43:20,10.5.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5131.0,5131.0,95,https://pypi.org/project/rich,1810552,1810552,33,True,1,2075.0,,
6,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-07-08 14:26:19,2021-07-08 13:24:22,546,393,486,7153,,,,Library for building powerful interactive command line applications in Python.,158566.0,158566.0,181,https://pypi.org/project/prompt-toolkit,16469076,16469076,33,True,2,2540.0,,-3.0
7,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-01 13:51:17,2021-06-11 10:31:40,289,269,365,2482,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,114040.0,114040.0,102,https://pypi.org/project/joblib,26320401,26320401,33,True,1,1375.0,,-3.0
8,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-07-07 14:17:28,2021-06-26 09:11:32,254,17,161,4031,2021-06-20 16:51:58,0.18.0,4.0,Get and set values in your .env file in local and production servers.,125589.0,125589.0,70,https://pypi.org/project/python-dotenv,8999354,8999354,32,True,1,287.0,,-2.0
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-07-08 07:44:48,2021-07-08 07:44:44,207,148,379,953,2021-07-08 07:44:02,1.3.0,100.0,The new Python SDK for Sentry.io.,12326.0,12326.0,99,https://pypi.org/project/sentry-sdk,9764647,9764782,32,True,2,1262.0,4459.0,
