,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-09-08 15:18:55,2021-09-08 15:18:53,1126,57,1163,11314,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,598930.0,598930.0,308,https://pypi.org/project/click,90632704,90632704,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-09-08 10:27:44,2021-09-04 14:20:58,303,305,1186,708,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,248183.0,248183.0,651,https://pypi.org/project/Pygments,29022801,29022801,36,True,2,5639.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-09-07 08:41:02,2021-09-06 00:54:14,578,60,375,7545,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,21724.0,21724.0,242,https://pypi.org/project/arrow,4354439,4354439,35,True,1,1319.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-08-31 12:00:17,2021-08-09 15:45:41,375,220,365,1643,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,553844.0,553844.0,125,https://pypi.org/project/python-dateutil,128164305,128164748,35,True,1,1549.0,34617.0,-1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-09-09 12:54:36,2021-09-07 07:41:21,858,5,505,28669,2021-08-29 14:57:02,10.9.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,6621.0,6621.0,112,https://pypi.org/project/rich,2122694,2122694,33,True,2,2251.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-09-09 12:54:36,2021-09-07 07:41:21,858,5,505,28669,2021-08-29 14:57:02,10.9.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,6621.0,6621.0,112,https://pypi.org/project/rich,2122694,2122694,33,True,1,2251.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-09-03 09:05:00,2021-08-24 15:23:38,298,280,366,2546,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,127161.0,127161.0,103,https://pypi.org/project/joblib,27918268,27918268,33,True,1,1376.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-08-13 15:41:10,2021-07-25 18:46:47,265,14,170,4252,2021-07-24 16:06:08,0.19.0,5.0,Get and set values in your .env file in local and production servers.,144454.0,144454.0,71,https://pypi.org/project/python-dotenv,10552334,10552334,32,True,1,300.0,,-2.0
8,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-09-08 11:52:00,2021-09-01 21:34:19,221,159,383,1040,2021-07-27 14:52:59,1.3.1,100.0,The new Python SDK for Sentry.io.,13841.0,13841.0,100,https://pypi.org/project/sentry-sdk,9105288,9105417,32,True,2,1271.0,4523.0,
9,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-09-09 07:14:10,2021-09-09 07:14:10,434,57,390,9738,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,9875.0,9875.0,30,https://pypi.org/project/loguru,1548925,1548925,31,True,2,562.0,,
10,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,156,20,45,1049,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,17044.0,17044.0,46,https://pypi.org/project/python-json-logger,3870846,3870846,31,True,2,196.0,,-1.0
11,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-08-24 09:49:55,2021-06-17 18:03:13,1156,93,142,20030,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,8914.0,8914.0,46,https://pypi.org/project/fire,1493384,1493384,30,True,3,259.0,,-2.0
12,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-09-08 19:32:40,2021-09-08 19:35:28,178,76,228,1890,2021-08-20 19:55:31,3.1.5,53.0,Configuration Management for Python.,1558.0,1558.0,71,https://pypi.org/project/dynaconf,376411,376411,29,True,2,557.0,,
13,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-03-22 08:46:40,2021-03-22 08:36:34,54,15,23,180,,,,pytz Python historical timezone library and database.,843343.0,843343.0,16,https://pypi.org/project/pytz,68354197,68354197,29,True,3,589.0,,-2.0
14,parse,r1chardj0n3s/parse,parse,misc,https://github.com/r1chardj0n3s/parse,https://github.com/r1chardj0n3s/parse,MIT,2011-11-17 05:31:01,2021-06-04 05:53:29,2021-06-04 05:53:29,85,17,64,1310,2021-01-14 01:37:12,1.19.0,2.0,Parse strings using a specification based on the Python format() syntax.,9005.0,9005.0,30,https://pypi.org/project/parse,2178840,2178840,28,True,1,225.0,,-1.0
15,cloudpickle,cloudpipe/cloudpickle,cloudpickle,misc,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,,2015-04-13 16:33:00,2021-09-09 17:18:54,2021-08-01 09:03:07,109,59,136,1008,2018-05-14 16:52:50,0.4.4,9.0,Extended pickling support for Python objects.,40887.0,40887.0,47,https://pypi.org/project/cloudpickle,20384442,20384442,28,True,1,389.0,19.0,-1.0
