,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-07-29 12:39:54,2021-07-06 13:34:56,1111,60,1139,11145,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,570852.0,570852.0,305,https://pypi.org/project/click,85914135,85914135,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-07-29 16:59:02,2021-07-27 10:19:56,294,302,1179,673,2021-05-03 15:20:07,2.9.0,17.0,Pygments is a generic syntax highlighter written in Python.,238589.0,238589.0,643,https://pypi.org/project/Pygments,26123421,26123421,36,True,2,5607.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-07-27 20:41:40,2021-07-15 04:46:09,571,55,369,7482,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,20925.0,20925.0,242,https://pypi.org/project/arrow,4167341,4167341,35,True,1,1301.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-07-23 12:04:22,2021-07-16 10:29:18,364,213,363,1610,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,530238.0,530238.0,124,https://pypi.org/project/python-dateutil,111464410,111464864,35,True,1,1545.0,34562.0,
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-28 19:00:22,2021-07-28 19:00:22,818,2,478,27664,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5624.0,5624.0,101,https://pypi.org/project/rich,1908230,1908230,33,True,2,2124.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-28 19:00:22,2021-07-28 19:00:22,818,2,478,27664,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5624.0,5624.0,101,https://pypi.org/project/rich,1908230,1908230,33,True,1,2124.0,,
6,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-07-26 22:55:41,2021-07-13 10:50:38,549,397,489,7180,,,,Library for building powerful interactive command line applications in Python.,162656.0,162656.0,186,https://pypi.org/project/prompt-toolkit,17444110,17444110,33,True,2,2549.0,,-3.0
7,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-10 10:38:06,2021-06-11 10:31:40,292,270,365,2506,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,118464.0,118464.0,102,https://pypi.org/project/joblib,26861083,26861083,33,True,1,1375.0,,-3.0
8,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-07-25 18:46:47,2021-07-25 18:46:47,260,11,169,4077,2021-07-24 16:06:08,0.19.0,5.0,Get and set values in your .env file in local and production servers.,131540.0,131540.0,71,https://pypi.org/project/python-dotenv,10191273,10191273,32,True,1,300.0,,-2.0
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-07-27 14:53:24,2021-07-27 14:53:19,210,150,380,1007,2021-07-27 14:52:59,1.3.1,100.0,The new Python SDK for Sentry.io.,12813.0,12813.0,100,https://pypi.org/project/sentry-sdk,9426334,9426468,32,True,2,1269.0,4447.0,
10,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-07-17 10:49:46,2021-07-17 10:49:37,417,52,376,9406,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,8740.0,8740.0,29,https://pypi.org/project/loguru,1444371,1444371,31,True,2,561.0,,1.0
11,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-07-07 20:21:19,2021-06-17 18:03:13,1141,87,141,19853,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,8405.0,8405.0,46,https://pypi.org/project/fire,1521139,1521139,30,True,3,259.0,,-2.0
12,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,148,19,45,1009,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,16233.0,16233.0,46,https://pypi.org/project/python-json-logger,3386714,3386714,30,True,3,196.0,,2.0
