,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-07-15 15:13:32,2021-07-06 13:34:56,1105,56,1133,11104,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,561068.0,561068.0,305,https://pypi.org/project/click,75370840,75370840,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-07-14 17:56:59,2021-07-09 10:40:49,285,303,1176,659,2021-05-03 15:20:07,2.9.0,17.0,Pygments is a generic syntax highlighter written in Python.,235222.0,235222.0,639,https://pypi.org/project/Pygments,25661106,25661106,36,True,2,5594.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-07-15 04:46:09,2021-07-15 04:46:09,570,55,369,7465,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,20671.0,20671.0,242,https://pypi.org/project/arrow,4164495,4164495,35,True,1,1301.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-07-13 16:06:38,2021-07-13 15:58:48,361,209,359,1603,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,522101.0,522101.0,123,https://pypi.org/project/python-dateutil,100710697,100711151,35,True,1,1539.0,34557.0,
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-15 17:35:23,2021-07-12 18:21:15,809,4,473,27513,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5291.0,5291.0,97,https://pypi.org/project/rich,1868793,1868793,33,True,2,2101.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-15 17:35:23,2021-07-12 18:21:15,809,4,473,27513,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5291.0,5291.0,97,https://pypi.org/project/rich,1868793,1868793,33,True,1,2101.0,,
6,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-07-14 16:59:46,2021-07-13 10:50:38,549,393,488,7164,,,,Library for building powerful interactive command line applications in Python.,160043.0,160043.0,185,https://pypi.org/project/prompt-toolkit,16980955,16980955,33,True,2,2549.0,,-3.0
7,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-10 10:38:06,2021-06-11 10:31:40,290,269,365,2493,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,115631.0,115631.0,102,https://pypi.org/project/joblib,27023600,27023600,33,True,1,1375.0,,-3.0
8,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-07-14 14:45:53,2021-07-14 08:10:09,254,13,166,4047,2021-06-20 16:51:58,0.18.0,4.0,Get and set values in your .env file in local and production servers.,127464.0,127464.0,70,https://pypi.org/project/python-dotenv,9490284,9490284,32,True,1,297.0,,-2.0
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-07-12 15:11:51,2021-07-12 15:11:51,207,148,379,959,2021-07-08 07:44:02,1.3.0,100.0,The new Python SDK for Sentry.io.,12497.0,12497.0,99,https://pypi.org/project/sentry-sdk,9506201,9506336,32,True,2,1263.0,4464.0,
