,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,commit_count,github_release_downloads,trending
20,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-08-12 13:11:58,2021-08-12 13:13:27,178,82,223,1854,2021-03-08 18:36:39,3.1.4,73,Configuration Management for Python.,1593,1501.0,69,29,https://pypi.org/project/dynaconf,2021-03-08 18:36:14,92,389485,389485,True,2,547.0,,
21,python-decouple,henriquebastos/python-decouple,python-decouple,config,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08,2021-06-08 02:54:52,2021-06-05 16:32:27,140,16,56,1840,2021-01-05 14:38:53,3.4,8,Strict separation of config from code.,50342,44318.0,24,29,https://pypi.org/project/python-decouple,2021-01-05 14:39:25,6024,450563,450563,True,2,157.0,,
22,parse,r1chardj0n3s/parse,parse,misc,https://github.com/r1chardj0n3s/parse,https://github.com/r1chardj0n3s/parse,MIT,2011-11-17 05:31:01,2021-06-04 05:53:29,2021-06-04 05:53:29,84,17,64,1291,2021-01-14 01:37:12,1.19.0,48,Parse strings using a specification based on the Python format() syntax.,11034,8792.0,30,29,https://pypi.org/project/parse,2021-01-14 01:36:09,2242,2189891,2189891,True,3,225.0,,
23,deepdiff,seperman/deepdiff,deepdiff,misc,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,MIT,2014-09-26 03:21:47,2021-08-16 23:28:44,2021-04-30 18:45:01,142,29,125,1103,2021-04-29 06:44:17,5.5.0,60,Deep Difference and search of any Python object/data.,3045,2229.0,54,29,https://pypi.org/project/deepdiff,2021-04-29 06:23:22,816,2861358,2861358,True,3,817.0,,
24,cloudpickle,cloudpipe/cloudpickle,cloudpickle,misc,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,BSD-1-Clause,2015-04-13 16:33:00,2021-08-09 15:56:54,2021-08-01 09:03:07,111,55,136,993,2020-08-25 22:32:04,1.6.0,33,Extended pickling support for Python objects.,44227,40125.0,47,29,https://pypi.org/project/cloudpickle,2020-08-25 22:32:04,4102,18452738,18452738,False,3,389.0,19.0,
25,environs,sloria/environs,environs,config,https://github.com/sloria/environs,https://github.com/sloria/environs,MIT,2016-04-25 05:34:37,2021-08-09 01:53:46,2021-08-09 01:51:04,47,5,61,714,2021-08-09 01:53:46,9.3.3,34,simplified environment variable parsing.,5118,4938.0,22,29,https://pypi.org/project/environs,2021-08-09 01:53:46,180,448283,448283,True,2,331.0,,2.0
26,structlog,hynek/structlog,structlog,debug,https://github.com/hynek/structlog,https://github.com/hynek/structlog,MIT,2013-08-13 15:55:58,2021-08-11 04:54:28,2021-08-11 04:36:20,138,33,157,1591,2021-02-18 16:17:00,21.1.0,23,Structured Logging for Python.,4740,3534.0,74,27,https://pypi.org/project/structlog,2021-02-18 16:06:29,1206,2295242,2295242,True,3,,,
27,json-logging-python,bobbui/json-logging-python,json-logging,debug,https://github.com/bobbui/json-logging-python,https://github.com/bobbui/json-logging-python,Apache-2.0,2017-12-18 15:27:46,2021-07-24 07:24:25,2021-07-24 07:24:25,44,5,49,182,2021-07-09 04:46:14,1.4.1rc0,35,Cloud-native distributed Python logging library to emit JSON log that can be easily indexed by logging infrastructure.,191,183.0,21,26,https://pypi.org/project/json-logging,2021-07-09 04:45:14,8,910378,910378,True,3,152.0,,1.0
28,hydra,facebookresearch/hydra,hydra,config,https://github.com/facebookresearch/hydra,https://github.com/facebookresearch/hydra,MIT,2019-06-12 19:33:15,2021-08-19 18:46:05,2021-08-19 18:46:05,374,73,774,4700,2021-07-15 17:21:18,1.0.7,16,Hydra is a framework for elegantly configuring complex applications.,9,3.0,77,24,https://pypi.org/project/hydra,2016-08-03 13:21:51,6,7119,7119,True,3,1551.0,,
29,typer,tiangolo/typer,typer,cli,https://github.com/tiangolo/typer,https://github.com/tiangolo/typer,MIT,2019-12-24 12:24:11,2021-08-03 12:33:19,2020-08-16 14:52:47,218,126,89,5893,2020-08-16 14:57:19,0.3.2,18,"Typer, build great CLIs. Easy to code. Based on Python type hints.",0,,8,23,https://pypi.org/project/typer,2020-08-16 14:57:19,0,2062438,2062438,True,3,257.0,,
30,better-exceptions,Qix-/better-exceptions,better-exceptions,debug,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04,2021-01-29 16:48:55,2021-01-29 16:48:11,195,29,41,4004,2021-01-29 16:48:55,0.3.3,16,"Pretty and useful exceptions in Python, automatically.",74,,14,22,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55,74,27012,27012,True,3,97.0,,
31,klepto,uqfoundation/klepto,klepto,caching,https://github.com/uqfoundation/klepto,https://github.com/uqfoundation/klepto,BSD-3-Clause,2013-08-14 22:04:27,2021-06-17 14:06:58,2021-06-17 14:06:45,23,48,43,195,2021-06-13 19:32:12,klepto-0.2.1,14,"persistent caching to memory, disk, or database.",12,,2,21,https://pypi.org/project/klepto,2021-06-13 19:27:44,12,68634,68638,True,3,376.0,405.0,
32,fuzzyfinder,amjith/fuzzyfinder,fuzzyfinder,cli,https://github.com/amjith/fuzzyfinder,https://github.com/amjith/fuzzyfinder,BSD-3-Clause,2015-06-15 08:17:11,2018-08-27 04:03:27,2018-08-27 04:03:27,30,4,6,355,2018-01-28 18:51:41,2.1.0,6,Fuzzy Finder implemented in Python.,179,127.0,5,20,https://pypi.org/project/fuzzyfinder,2018-01-28 18:51:41,52,16609,16609,False,3,44.0,,
