,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-10-14 14:39:31,2021-10-10 18:08:13,1143,56,1182,11480,2021-10-10 18:08:47,8.0.3,9.0,Python composable command line interface toolkit.,623183.0,623183.0,312,https://pypi.org/project/click,100170225,100170225,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-10-12 10:50:26,2021-10-12 10:50:26,313,310,1191,751,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,256341.0,256341.0,654,https://pypi.org/project/Pygments,33293810,33293810,36,True,2,5651.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-10-14 10:57:11,2021-10-05 03:16:07,585,60,375,7616,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,22373.0,22373.0,243,https://pypi.org/project/arrow,5082988,5082988,35,True,1,1327.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-10-12 09:58:53,2021-10-12 09:58:53,378,219,367,1670,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,573628.0,573628.0,126,https://pypi.org/project/python-dateutil,149811882,149812320,35,True,1,1552.0,34627.0,-1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-10-14 15:56:40,2021-10-12 08:50:37,929,18,530,30085,2021-10-06 13:09:30,10.12.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,7484.0,7484.0,118,https://pypi.org/project/rich,2231147,2231147,33,True,2,2302.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-10-14 15:56:40,2021-10-12 08:50:37,929,18,530,30085,2021-10-06 13:09:30,10.12.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,7484.0,7484.0,118,https://pypi.org/project/rich,2231147,2231147,33,True,1,2302.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-10-07 20:44:44,2021-10-07 20:44:44,300,282,373,2567,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,134642.0,134642.0,106,https://pypi.org/project/joblib,30465277,30465277,33,True,1,1383.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-10-09 08:17:43,2021-10-09 08:17:30,273,15,172,4359,2021-10-09 08:19:45,0.19.1,6.0,Get and set values in your .env file in local and production servers.,155485.0,155485.0,71,https://pypi.org/project/python-dotenv,12344956,12344956,32,True,1,302.0,,-2.0
8,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-10-11 03:00:48,2021-10-01 21:43:40,230,166,387,1059,2021-09-29 13:51:54,1.4.3,100.0,The new Python SDK for Sentry.io.,14735.0,14735.0,102,https://pypi.org/project/sentry-sdk,10575837,10575961,32,True,2,1301.0,4487.0,
9,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-10-14 06:31:44,2021-09-09 07:14:10,443,69,398,9997,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,10836.0,10836.0,30,https://pypi.org/project/loguru,1723549,1723549,31,True,2,562.0,,
10,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,158,20,46,1081,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,17783.0,17783.0,46,https://pypi.org/project/python-json-logger,4094694,4094694,31,True,2,196.0,,-1.0
11,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-09-30 17:11:13,2021-06-17 18:03:13,1169,93,142,20264,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,9300.0,9300.0,46,https://pypi.org/project/fire,1534248,1534248,30,True,3,259.0,,-2.0
