,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-11-11 00:49:48,2021-11-11 00:49:47,1151,61,1197,11587,2021-10-10 18:08:47,8.0.3,9.0,Python composable command line interface toolkit.,646335.0,646335.0,312,https://pypi.org/project/click,103102175,103102175,37,True,1,,,
1,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-10-12 09:58:53,2021-10-12 09:58:53,378,220,367,1690,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,591060.0,591060.0,126,https://pypi.org/project/python-dateutil,242047556,242047989,36,True,1,1552.0,34640.0,
2,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-11-09 07:43:21,2021-11-09 07:43:18,323,312,1199,762,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,264915.0,264915.0,661,https://pypi.org/project/Pygments,33428898,33428898,36,True,2,5682.0,,
3,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-11-10 20:44:48,2021-11-05 23:24:45,593,60,380,7645,2021-10-24 22:20:00,1.2.1,42.0,Better dates & times for Python.,22974.0,22974.0,251,https://pypi.org/project/arrow,5396555,5396555,35,True,2,1341.0,,
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-11-11 13:01:54,2021-11-09 16:59:50,966,17,559,30870,2021-11-07 16:10:36,10.13.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,8337.0,8337.0,132,https://pypi.org/project/rich,2558313,2558313,33,True,2,2406.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-11-11 13:01:54,2021-11-09 16:59:50,966,17,559,30870,2021-11-07 16:10:36,10.13.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,8337.0,8337.0,132,https://pypi.org/project/rich,2558313,2558313,33,True,1,2406.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-11-08 20:50:44,2021-11-08 20:50:44,304,285,375,2601,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,140824.0,140824.0,106,https://pypi.org/project/joblib,31641887,31641887,33,True,1,1385.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-11-11 12:32:51,2021-11-11 12:25:19,275,14,174,4433,2021-11-11 12:35:25,0.19.2,7.0,Get and set values in your .env file in local and production servers.,164396.0,164396.0,71,https://pypi.org/project/python-dotenv,13205129,13205129,32,True,1,304.0,,-2.0
8,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,160,22,46,1104,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,18333.0,18333.0,46,https://pypi.org/project/python-json-logger,4244891,4244891,32,True,2,196.0,,
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-11-11 16:24:33,2021-11-05 09:04:32,234,176,394,1072,2021-09-29 13:51:54,1.4.3,100.0,The new Python SDK for Sentry.io.,15465.0,15465.0,104,https://pypi.org/project/sentry-sdk,11132008,11132129,32,True,2,1304.0,4499.0,
10,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-10-18 20:13:10,2021-09-09 07:14:10,454,77,401,10199,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,11650.0,11650.0,30,https://pypi.org/project/loguru,2031646,2031646,31,True,3,562.0,,
11,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-09-30 17:11:13,2021-06-17 18:03:13,1174,95,142,20396,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,9614.0,9614.0,46,https://pypi.org/project/fire,1621577,1621577,30,True,3,259.0,,-2.0
12,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-11-10 12:32:30,2021-10-26 09:03:22,189,83,235,2012,2021-09-09 20:04:05,3.1.7,55.0,Configuration Management for Python.,1875.0,1875.0,75,https://pypi.org/project/dynaconf,507129,507129,30,True,2,571.0,,1.0
13,python-decouple,henriquebastos/python-decouple,python-decouple,config,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08,2021-09-30 20:49:23,2021-09-30 20:45:28,141,5,65,1940,2021-09-30 20:51:47,3.5,2.0,Strict separation of config from code.,50744.0,50744.0,27,https://pypi.org/project/python-decouple,635613,635613,30,True,2,166.0,2.0,1.0
14,cloudpickle,cloudpipe/cloudpickle,cloudpickle,misc,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,,2015-04-13 16:33:00,2021-10-21 02:49:04,2021-10-11 13:45:58,117,63,141,1057,2021-09-14 07:30:48,2.0.0,10.0,Extended pickling support for Python objects.,43529.0,43529.0,48,https://pypi.org/project/cloudpickle,25859842,25859842,30,True,1,399.0,19.0,1.0
15,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-10-11 22:13:12,2021-10-11 21:44:41,56,15,23,185,,,,pytz Python historical timezone library and database.,903156.0,903156.0,16,https://pypi.org/project/pytz,77761448,77761448,30,True,3,603.0,,-1.0
16,boltons.cacheutils,mahmoud/boltons,boltons,caching,https://github.com/mahmoud/boltons,https://boltons.readthedocs.io/en/latest/cacheutils.html,,2013-02-20 06:17:12,2021-10-11 06:26:38,2021-10-11 06:26:24,306,37,91,5639,2020-01-08 23:38:01,20.0.0,18.0,`boltons.cacheutils` contains consistent implementations of fundamental cache types.,1805.0,1805.0,72,https://pypi.org/project/boltons,1170666,1170666,28,True,2,1498.0,23.0,-2.0
17,boltons,mahmoud/boltons,boltons,misc,https://github.com/mahmoud/boltons,https://github.com/mahmoud/boltons,,2013-02-20 06:17:12,2021-10-11 06:26:38,2021-10-11 06:26:24,306,37,91,5639,2020-01-08 23:38:01,20.0.0,18.0,"Like builtins, but boltons. 250+ constructs, recipes, and snippets which extend (and rely on nothing but) the Python..",1805.0,1805.0,72,https://pypi.org/project/boltons,1170666,1170666,28,True,2,1498.0,23.0,-2.0
18,parse,r1chardj0n3s/parse,parse,misc,https://github.com/r1chardj0n3s/parse,https://github.com/r1chardj0n3s/parse,MIT,2011-11-17 05:31:01,2021-06-04 05:53:29,2021-06-04 05:53:29,83,17,64,1334,2021-01-14 01:37:12,1.19.0,2.0,Parse strings using a specification based on the Python format() syntax.,9628.0,9628.0,30,https://pypi.org/project/parse,2189818,2189818,28,True,2,225.0,,-1.0
19,deepdiff,seperman/deepdiff,deepdiff,misc,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,,2014-09-26 03:21:47,2021-10-13 18:45:37,2021-10-13 18:45:28,147,29,136,1168,2021-10-13 06:47:24,5.6.0,16.0,Deep Difference and search of any Python object/data.,2500.0,2500.0,57,https://pypi.org/project/deepdiff,3031831,3031831,27,True,3,844.0,,-2.0
20,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-11-04 10:42:04,2021-11-03 21:24:41,571,419,500,7374,,,,Library for building powerful interactive command line applications in Python.,,,194,https://pypi.org/project/prompt-toolkit,24155182,24155182,26,True,3,2572.0,,-6.0
21,environs,sloria/environs,environs,config,https://github.com/sloria/environs,https://github.com/sloria/environs,MIT,2016-04-25 05:34:37,2021-11-06 07:27:30,2021-10-04 01:13:52,50,6,62,765,,,,simplified environment variable parsing.,6202.0,6202.0,22,https://pypi.org/project/environs,479003,479003,26,True,3,333.0,,-3.0
22,json-logging-python,bobbui/json-logging-python,json-logging,debug,https://github.com/bobbui/json-logging-python,https://github.com/bobbui/json-logging-python,Apache-2.0,2017-12-18 15:27:46,2021-11-11 00:30:02,2021-07-24 07:24:25,45,6,51,190,2021-07-09 04:46:14,1.4.1rc0,29.0,Cloud-native distributed Python logging library to emit JSON log that can be easily indexed by logging infrastructure.,211.0,211.0,21,https://pypi.org/project/json-logging,753299,753299,26,True,3,152.0,,
23,typer,tiangolo/typer,typer,cli,https://github.com/tiangolo/typer,https://github.com/tiangolo/typer,MIT,2019-12-24 12:24:11,2021-11-09 12:23:12,2021-08-30 09:02:44,240,114,94,6554,2021-08-30 08:58:19,0.4.0,18.0,"Typer, build great CLIs. Easy to code. Based on Python type hints.",,,9,https://pypi.org/project/typer,4413920,4413920,25,True,3,277.0,,2.0
24,pendulum,sdispater/pendulum,pendulum,datetime,https://github.com/sdispater/pendulum,https://github.com/sdispater/pendulum,MIT,2016-06-27 23:37:53,2021-11-09 12:02:14,2021-10-19 19:25:33,252,171,227,4592,2020-07-24 18:17:05,2.1.2,45.0,Python datetimes made easy.,,,68,https://pypi.org/project/pendulum,6126936,6126936,25,True,3,706.0,,-5.0
25,structlog,hynek/structlog,structlog,debug,https://github.com/hynek/structlog,https://github.com/hynek/structlog,,2013-08-13 15:55:58,2021-11-11 09:12:43,2021-11-11 06:11:51,145,27,169,1775,2021-10-12 13:33:16,21.2.0,3.0,Structured Logging for Python.,3820.0,3820.0,79,https://pypi.org/project/structlog,2489263,2489263,25,True,3,,,-2.0
26,wrapt,GrahamDumpleton/wrapt,wrapt,misc,https://github.com/GrahamDumpleton/wrapt,https://github.com/GrahamDumpleton/wrapt,BSD-2-Clause,2013-05-29 10:22:45,2021-10-29 21:58:15,2021-10-29 21:58:09,197,26,111,1565,,,,"A Python module for decorators, wrappers and monkey patching.",,,21,https://pypi.org/project/wrapt,38061950,38061950,24,True,3,621.0,,-9.0
