,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-09-16 15:15:44,2021-09-16 15:15:44,1129,58,1166,11358,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,603599.0,603599.0,309,https://pypi.org/project/click,91173465,91173465,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-09-16 08:52:12,2021-09-11 20:28:06,306,306,1187,715,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,249801.0,249801.0,651,https://pypi.org/project/Pygments,28757732,28757732,36,True,2,5640.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-09-15 22:39:21,2021-09-12 16:26:45,581,60,375,7560,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,21836.0,21836.0,242,https://pypi.org/project/arrow,4483008,4483008,35,True,1,1323.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-08-31 12:00:17,2021-08-09 15:45:41,375,220,365,1646,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,557564.0,557564.0,125,https://pypi.org/project/python-dateutil,128817183,128817626,35,True,1,1549.0,34618.0,-1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-09-16 10:37:31,2021-09-16 08:25:13,869,11,508,28758,2021-08-29 14:57:02,10.9.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,6782.0,6782.0,112,https://pypi.org/project/rich,2158208,2158208,33,True,2,2257.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-09-16 10:37:31,2021-09-16 08:25:13,869,11,508,28758,2021-08-29 14:57:02,10.9.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,6782.0,6782.0,112,https://pypi.org/project/rich,2158208,2158208,33,True,1,2257.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-09-13 10:00:29,2021-09-13 10:00:29,298,278,370,2551,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,128627.0,128627.0,106,https://pypi.org/project/joblib,26986793,26986793,33,True,1,1380.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-08-13 15:41:10,2021-07-25 18:46:47,266,14,171,4273,2021-07-24 16:06:08,0.19.0,5.0,Get and set values in your .env file in local and production servers.,146920.0,146920.0,71,https://pypi.org/project/python-dotenv,10686976,10686976,32,True,1,300.0,,-2.0
8,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,158,20,45,1056,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,17172.0,17172.0,46,https://pypi.org/project/python-json-logger,3890755,3890755,32,True,2,196.0,,
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-09-16 18:07:45,2021-09-16 18:07:44,223,162,383,1046,2021-07-27 14:52:59,1.3.1,100.0,The new Python SDK for Sentry.io.,14032.0,14032.0,100,https://pypi.org/project/sentry-sdk,9207000,9207129,32,True,2,1276.0,4526.0,
