,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,commit_count,github_release_downloads,trending
10,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-08-05 07:30:00,2021-08-05 07:30:00,557,431,491,7205,2021-06-17 21:18:12,3.0.19,103,Library for building powerful interactive command line applications in Python.,532,,188,32,https://pypi.org/project/prompt-toolkit,2021-06-17 21:18:12,532,18324884,18324884,True,3,2551.0,,7.0
11,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-08-02 03:00:30,2021-07-27 14:53:19,218,171,381,1018,2021-07-27 14:52:59,1.3.1,131,The new Python SDK for Sentry.io.,14002,13016.0,100,32,https://pypi.org/project/sentry-sdk,2021-07-27 14:52:55,986,9160552,9160683,True,2,1269.0,4467.0,
12,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,152,20,45,1015,2021-07-27 23:09:33,2.0.2,20,Json Formatter for the standard python logger.,17340,16422.0,46,32,https://pypi.org/project/python-json-logger,2021-07-27 23:09:33,918,3457438,3457438,True,2,196.0,,1.0
13,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-07-17 10:49:46,2021-07-17 10:49:37,419,51,378,9459,2020-09-20 07:56:32,0.5.3,17,Python logging made (stupidly) simple.,9317,8975.0,29,31,https://pypi.org/project/loguru,2020-09-20 07:54:28,342,1443811,1443811,True,3,561.0,,
14,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-03-22 08:46:40,2021-03-22 08:36:34,54,16,22,174,2016-07-14 08:21:41,2016.6.1,101,pytz Python historical timezone library and database.,967417,812481.0,16,31,https://pypi.org/project/pytz,2021-02-01 08:07:15,154936,69305425,69305425,True,3,589.0,,2.0
15,boltons.cacheutils,mahmoud/boltons,boltons,caching,https://github.com/mahmoud/boltons,https://boltons.readthedocs.io/en/latest/cacheutils.html,BSD-3-Clause,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,302,41,90,5509,2021-05-17 01:20:20,21.0.0,49,`boltons.cacheutils` contains consistent implementations of fundamental cache types.,2099,1607.0,72,30,https://pypi.org/project/boltons,2021-05-17 01:20:20,492,1032149,1032149,True,2,1497.0,21.0,3.0
16,boltons,mahmoud/boltons,boltons,misc,https://github.com/mahmoud/boltons,https://github.com/mahmoud/boltons,BSD-3-Clause,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,302,41,90,5509,2021-05-17 01:20:20,21.0.0,49,"Like builtins, but boltons. 250+ constructs, recipes, and snippets which extend (and rely on nothing but) the Python..",2099,1607.0,72,30,https://pypi.org/project/boltons,2021-05-17 01:20:20,492,1032149,1032149,True,2,1497.0,21.0,3.0
17,pendulum,sdispater/pendulum,pendulum,datetime,https://github.com/sdispater/pendulum,https://github.com/sdispater/pendulum,MIT,2016-06-27 23:37:53,2021-08-05 18:25:36,2021-02-11 15:37:00,249,195,224,4486,2020-07-24 18:17:05,2.1.2,52,Python datetimes made easy.,1080,,66,30,https://pypi.org/project/pendulum,2020-07-24 18:16:40,1080,5390687,5390687,True,3,697.0,,5.0
18,dill,uqfoundation/dill,dill,misc,https://github.com/uqfoundation/dill,https://github.com/uqfoundation/dill,BSD-3-Clause,2013-06-28 16:42:27,2021-08-05 04:35:34,2021-07-13 12:04:19,122,139,214,1453,2021-06-13 17:15:27,dill-0.3.4,22,serialize all of python.,4968,,30,30,https://pypi.org/project/dill,2021-06-13 17:11:45,4968,8596220,8598762,True,2,845.0,238961.0,8.0
19,cachetools,tkem/cachetools,cachetools,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14,2021-07-02 00:40:42,2021-04-27 21:11:46,106,11,173,1029,2021-04-27 21:19:55,4.2.2,37,Extensible memoizing collections and decorators.,4436,,5,30,https://pypi.org/project/cachetools,2021-04-27 21:19:55,4436,41746840,41746840,True,2,212.0,,9.0
20,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-08-04 20:21:00,2021-08-04 20:21:00,176,82,219,1841,2021-03-08 18:36:39,3.1.4,73,Configuration Management for Python.,1534,1442.0,69,29,https://pypi.org/project/dynaconf,2021-03-08 18:36:14,92,380979,380979,True,2,543.0,,
21,python-decouple,henriquebastos/python-decouple,python-decouple,config,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08,2021-06-08 02:54:52,2021-06-05 16:32:27,140,16,56,1824,2021-01-05 14:38:53,3.4,8,Strict separation of config from code.,49485,43461.0,24,29,https://pypi.org/project/python-decouple,2021-01-05 14:39:25,6024,454468,454468,True,2,157.0,,1.0
22,parse,r1chardj0n3s/parse,parse,misc,https://github.com/r1chardj0n3s/parse,https://github.com/r1chardj0n3s/parse,MIT,2011-11-17 05:31:01,2021-06-04 05:53:29,2021-06-04 05:53:29,83,16,64,1286,2021-01-14 01:37:12,1.19.0,48,Parse strings using a specification based on the Python format() syntax.,10920,8678.0,30,29,https://pypi.org/project/parse,2021-01-14 01:36:09,2242,2243658,2243658,True,3,225.0,,
23,deepdiff,seperman/deepdiff,deepdiff,misc,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,MIT,2014-09-26 03:21:47,2021-07-12 20:20:23,2021-04-30 18:45:01,142,28,125,1099,2021-04-29 06:44:17,5.5.0,60,Deep Difference and search of any Python object/data.,3016,2200.0,54,29,https://pypi.org/project/deepdiff,2021-04-29 06:23:22,816,2937227,2937227,True,3,817.0,,3.0
24,cloudpickle,cloudpipe/cloudpickle,cloudpickle,misc,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,BSD-1-Clause,2015-04-13 16:33:00,2021-08-01 10:06:34,2021-08-01 09:03:07,111,55,136,986,2020-08-25 22:32:04,1.6.0,33,Extended pickling support for Python objects.,43778,39676.0,47,29,https://pypi.org/project/cloudpickle,2020-08-25 22:32:04,4102,16961629,16961629,False,3,389.0,19.0,1.0
25,structlog,hynek/structlog,structlog,debug,https://github.com/hynek/structlog,https://github.com/hynek/structlog,MIT,2013-08-13 15:55:58,2021-08-06 23:53:44,2021-08-02 18:05:03,140,33,156,1580,2021-02-18 16:17:00,21.1.0,23,Structured Logging for Python.,4695,3489.0,73,27,https://pypi.org/project/structlog,2021-02-18 16:06:29,1206,2191118,2191118,True,3,,,3.0
26,environs,sloria/environs,environs,config,https://github.com/sloria/environs,https://github.com/sloria/environs,MIT,2016-04-25 05:34:37,2021-06-23 12:08:48,2021-05-12 16:15:09,45,6,60,712,2021-02-07 16:38:01,9.3.1,33,simplified environment variable parsing.,4931,4751.0,21,27,https://pypi.org/project/environs,2021-02-07 16:38:01,180,430095,430095,True,3,328.0,,2.0
27,json-logging-python,bobbui/json-logging-python,json-logging,debug,https://github.com/bobbui/json-logging-python,https://github.com/bobbui/json-logging-python,Apache-2.0,2017-12-18 15:27:46,2021-07-24 07:24:25,2021-07-24 07:24:25,43,5,48,182,2021-07-09 04:46:14,1.4.1rc0,35,Cloud-native distributed Python logging library to emit JSON log that can be easily indexed by logging infrastructure.,190,182.0,21,25,https://pypi.org/project/json-logging,2021-07-09 04:45:14,8,926989,926989,True,3,152.0,,
28,hydra,facebookresearch/hydra,hydra,config,https://github.com/facebookresearch/hydra,https://github.com/facebookresearch/hydra,MIT,2019-06-12 19:33:15,2021-08-06 18:32:25,2021-08-06 03:07:11,374,65,766,4647,2021-07-15 17:21:18,1.0.7,16,Hydra is a framework for elegantly configuring complex applications.,8,2.0,76,24,https://pypi.org/project/hydra,2016-08-03 13:21:51,6,5758,5758,True,3,1543.0,,1.0
29,typer,tiangolo/typer,typer,cli,https://github.com/tiangolo/typer,https://github.com/tiangolo/typer,MIT,2019-12-24 12:24:11,2021-08-03 12:33:19,2020-08-16 14:52:47,216,126,88,5818,2020-08-16 14:57:19,0.3.2,18,"Typer, build great CLIs. Easy to code. Based on Python type hints.",0,,8,23,https://pypi.org/project/typer,2020-08-16 14:57:19,0,2069850,2069850,True,3,257.0,,
30,better-exceptions,Qix-/better-exceptions,better-exceptions,debug,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04,2021-01-29 16:48:55,2021-01-29 16:48:11,195,29,41,3997,2021-01-29 16:48:55,0.3.3,16,"Pretty and useful exceptions in Python, automatically.",74,,14,22,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55,74,27464,27464,True,3,97.0,,3.0
31,klepto,uqfoundation/klepto,klepto,caching,https://github.com/uqfoundation/klepto,https://github.com/uqfoundation/klepto,BSD-3-Clause,2013-08-14 22:04:27,2021-06-17 14:06:58,2021-06-17 14:06:45,23,48,43,194,2021-06-13 19:32:12,klepto-0.2.1,14,"persistent caching to memory, disk, or database.",12,,2,21,https://pypi.org/project/klepto,2021-06-13 19:27:44,12,73523,73527,True,3,376.0,405.0,4.0
32,fuzzyfinder,amjith/fuzzyfinder,fuzzyfinder,cli,https://github.com/amjith/fuzzyfinder,https://github.com/amjith/fuzzyfinder,BSD-3-Clause,2015-06-15 08:17:11,2018-08-27 04:03:27,2018-08-27 04:03:27,30,4,6,357,2018-01-28 18:51:41,2.1.0,6,Fuzzy Finder implemented in Python.,179,127.0,5,20,https://pypi.org/project/fuzzyfinder,2018-01-28 18:51:41,52,20540,20540,False,3,44.0,,2.0
