,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-08-07 03:58:27,2021-08-05 13:48:24,1122,68,1148,11182,2021-05-19 21:02:51,8.0.1,42,Python composable command line interface toolkit.,686393,576931.0,306,37,https://pypi.org/project/click,2021-05-19 21:00:32,109462,85710502,85710502,True,1,,,
1,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,NRL,2014-11-19 18:56:16,2021-08-04 22:32:19,2021-08-02 15:16:48,370,258,363,1617,2021-07-14 08:19:18,2.8.2,24,Useful extensions to the standard Python datetime features.,651791,535163.0,125,36,https://pypi.org/project/python-dateutil,2021-07-14 08:19:18,116628,118722531,118722979,False,1,1546.0,34571.0,1.0
2,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-08-05 18:31:24,2021-07-31 06:08:29,718,351,1183,680,2021-05-03 15:20:07,2.9.0,50,Pygments is a generic syntax highlighter written in Python.,308220,240454.0,645,36,https://pypi.org/project/Pygments,2021-05-03 16:09:56,67766,27149466,27149466,True,2,5610.0,,
3,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-08-02 07:22:45,2021-08-02 07:22:45,577,58,371,7493,2021-06-24 15:05:35,1.1.1,59,Better dates & times for Python.,28508,21086.0,242,35,https://pypi.org/project/arrow,2021-06-24 15:04:26,7422,4244284,4244284,True,2,1305.0,,
4,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-10 10:38:06,2021-06-11 10:31:40,292,291,365,2508,2021-02-09 16:46:29,1.0.1,100,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,126766,120156.0,102,35,https://pypi.org/project/joblib,2021-02-09 16:46:29,6610,26810007,26810007,True,1,1375.0,,2.0
5,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,BSD-3-Clause,2014-09-06 05:35:17,2021-07-30 23:31:08,2021-07-25 18:46:47,260,13,169,4105,2021-07-24 16:06:26,0.19.0,38,Get and set values in your .env file in local and production servers.,143254,133900.0,71,34,https://pypi.org/project/python-dotenv,2021-07-24 16:06:26,9354,10190587,10190587,True,1,300.0,,2.0
6,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-06 06:05:21,2021-08-05 20:43:12,848,6,484,27809,2021-08-05 20:19:04,10.7.0,131,Rich is a Python library for rich text and beautiful formatting in the terminal.,5805,5805.0,104,33,https://pypi.org/project/rich,2021-08-05 20:17:41,0,1926242,1926242,True,2,2170.0,,
7,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-06 06:05:21,2021-08-05 20:43:12,848,6,484,27809,2021-08-05 20:19:04,10.7.0,131,Rich is a Python library for rich text and beautiful formatting in the terminal.,5805,5805.0,104,33,https://pypi.org/project/rich,2021-08-05 20:17:41,0,1926242,1926242,True,1,2170.0,,
8,wrapt,GrahamDumpleton/wrapt,wrapt,misc,https://github.com/GrahamDumpleton/wrapt,https://github.com/GrahamDumpleton/wrapt,BSD-2-Clause,2013-05-29 10:22:45,2021-08-07 07:41:23,2021-08-07 07:41:13,194,45,105,1519,2020-03-09 02:32:04,1.12.1,37,"A Python module for decorators, wrappers and monkey patching.",21338,,21,33,https://pypi.org/project/wrapt,2021-08-06 08:02:03,21338,32963320,32963320,True,1,501.0,,9.0
9,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,Apache-2.0,2017-02-21 21:35:07,2021-07-07 20:21:19,2021-06-17 18:03:13,1155,106,141,19889,2021-01-22 18:12:10,0.4.0,9,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,9680,8512.0,46,32,https://pypi.org/project/fire,2021-01-22 18:11:49,1168,1308636,1308636,True,3,259.0,,2.0
