,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-07-20 06:58:37,2021-07-06 13:34:56,1108,57,1138,11122,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,566067.0,566067.0,305,https://pypi.org/project/click,81632346,81632346,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-07-21 19:42:11,2021-07-18 11:48:42,289,302,1178,667,2021-05-03 15:20:07,2.9.0,17.0,Pygments is a generic syntax highlighter written in Python.,236872.0,236872.0,641,https://pypi.org/project/Pygments,26144487,26144487,36,True,2,5604.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-07-15 04:46:09,2021-07-15 04:46:09,570,55,369,7476,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,20788.0,20788.0,242,https://pypi.org/project/arrow,4160932,4160932,35,True,1,1301.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-07-16 15:09:56,2021-07-16 10:29:18,364,211,361,1607,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,526203.0,526203.0,124,https://pypi.org/project/python-dateutil,105637539,105637993,35,True,1,1545.0,34558.0,
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-19 20:50:31,2021-07-15 20:37:55,812,3,476,27597,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5435.0,5435.0,98,https://pypi.org/project/rich,1898407,1898407,33,True,2,2105.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-07-19 20:50:31,2021-07-15 20:37:55,812,3,476,27597,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5435.0,5435.0,98,https://pypi.org/project/rich,1898407,1898407,33,True,1,2105.0,,
6,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,prompt-toolkit,cli,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08,2021-07-14 16:59:46,2021-07-13 10:50:38,549,393,489,7175,,,,Library for building powerful interactive command line applications in Python.,161335.0,161335.0,185,https://pypi.org/project/prompt-toolkit,17428859,17428859,33,True,2,2549.0,,-3.0
7,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-10 10:38:06,2021-06-11 10:31:40,292,270,365,2505,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,116998.0,116998.0,102,https://pypi.org/project/joblib,27085824,27085824,33,True,1,1375.0,,-3.0
8,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-07-20 13:40:27,2021-07-14 08:10:09,255,12,167,4060,2021-06-20 16:51:58,0.18.0,4.0,Get and set values in your .env file in local and production servers.,129389.0,129389.0,70,https://pypi.org/project/python-dotenv,9935089,9935089,32,True,1,297.0,,-2.0
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-07-21 10:41:11,2021-07-21 10:40:36,209,150,379,964,2021-07-08 07:44:02,1.3.0,100.0,The new Python SDK for Sentry.io.,12672.0,12672.0,99,https://pypi.org/project/sentry-sdk,9604564,9604699,32,True,2,1265.0,4466.0,
