,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-11-23 12:13:35,2021-11-11 00:49:47,1154,61,1203,11640,2021-10-10 18:08:47,8.0.3,9.0,Python composable command line interface toolkit.,657356.0,657356.0,312,https://pypi.org/project/click,91174038,91174038,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-11-24 08:39:24,2021-11-24 07:25:30,326,311,1207,777,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,268961.0,268961.0,669,https://pypi.org/project/Pygments,30303536,30303536,36,True,2,5753.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-11-23 18:29:44,2021-11-23 18:29:44,597,62,380,7669,2021-10-24 22:20:00,1.2.1,42.0,Better dates & times for Python.,23241.0,23241.0,252,https://pypi.org/project/arrow,5369178,5369178,35,True,1,1342.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-11-18 11:44:41,2021-10-12 09:58:53,380,220,368,1697,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,599159.0,599159.0,126,https://pypi.org/project/python-dateutil,170193897,170194330,35,True,1,1552.0,34649.0,-1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-11-24 16:02:12,2021-11-20 10:53:06,979,20,571,31116,2021-11-16 15:15:03,10.14.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,8739.0,8739.0,135,https://pypi.org/project/rich,2643036,2643036,33,True,2,2449.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-11-24 16:02:12,2021-11-20 10:53:06,979,20,571,31116,2021-11-16 15:15:03,10.14.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,8739.0,8739.0,135,https://pypi.org/project/rich,2643036,2643036,33,True,1,2449.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-11-08 20:50:44,2021-11-08 20:50:44,304,286,375,2615,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,144271.0,144271.0,106,https://pypi.org/project/joblib,28132376,28132376,33,True,1,1385.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-11-19 18:55:58,2021-11-11 12:25:19,277,16,176,4479,2021-11-11 12:35:25,0.19.2,7.0,Get and set values in your .env file in local and production servers.,168487.0,168487.0,71,https://pypi.org/project/python-dotenv,12113021,12113021,32,True,1,304.0,,-2.0
8,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,162,23,46,1125,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,18484.0,18484.0,46,https://pypi.org/project/python-json-logger,4449740,4449740,32,True,2,196.0,,
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-11-24 13:33:48,2021-11-17 13:37:34,242,176,398,1092,2021-11-17 13:10:28,1.5.0,100.0,The new Python SDK for Sentry.io.,15770.0,15770.0,109,https://pypi.org/project/sentry-sdk,10945670,10945791,32,True,2,1315.0,4482.0,
10,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-10-18 20:13:10,2021-09-09 07:14:10,456,83,402,10352,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,12027.0,12027.0,30,https://pypi.org/project/loguru,2091005,2091005,31,True,3,562.0,,
11,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-09-30 17:11:13,2021-06-17 18:03:13,1178,96,142,20447,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,9790.0,9790.0,46,https://pypi.org/project/fire,1672442,1672442,30,True,3,259.0,,-2.0
12,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-11-18 16:01:10,2021-11-18 15:59:43,190,84,235,2036,2021-09-09 20:04:05,3.1.7,55.0,Configuration Management for Python.,1931.0,1931.0,75,https://pypi.org/project/dynaconf,535014,535014,30,True,2,572.0,,1.0
13,python-decouple,henriquebastos/python-decouple,python-decouple,config,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08,2021-09-30 20:49:23,2021-09-30 20:45:28,141,6,65,1957,2021-09-30 20:51:47,3.5,2.0,Strict separation of config from code.,51707.0,51707.0,27,https://pypi.org/project/python-decouple,643044,643044,30,True,2,166.0,4.0,1.0
14,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-10-11 22:13:12,2021-10-11 21:44:41,57,15,24,187,,,,pytz Python historical timezone library and database.,916117.0,916117.0,16,https://pypi.org/project/pytz,73020918,73020918,30,True,3,603.0,,-1.0
15,deepdiff,seperman/deepdiff,deepdiff,misc,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,,2014-09-26 03:21:47,2021-10-13 18:45:37,2021-10-13 18:45:28,150,30,136,1185,2021-10-13 06:47:24,5.6.0,16.0,Deep Difference and search of any Python object/data.,2555.0,2555.0,57,https://pypi.org/project/deepdiff,3433038,3433038,29,True,1,844.0,,
