,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-08-16 14:17:15,2021-08-14 12:33:10,1121,56,1159,11261,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,589858.0,589858.0,308,https://pypi.org/project/click,86828658,86828658,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-08-23 14:49:09,2021-08-23 13:46:47,300,301,1186,699,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,244957.0,244957.0,650,https://pypi.org/project/Pygments,29217386,29217386,36,True,2,5637.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-08-25 09:28:41,2021-08-23 09:47:20,577,60,372,7521,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,21440.0,21440.0,242,https://pypi.org/project/arrow,4280554,4280554,35,True,1,1310.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-08-21 12:27:54,2021-08-09 15:45:41,372,218,364,1625,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,546254.0,546254.0,125,https://pypi.org/project/python-dateutil,126266215,126266664,35,True,1,1549.0,34600.0,-1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-26 16:19:12,2021-08-26 16:02:54,844,6,494,28351,2021-08-05 20:19:04,10.7.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,6262.0,6262.0,108,https://pypi.org/project/rich,2011440,2011440,33,True,2,2194.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-26 16:19:12,2021-08-26 16:02:54,844,6,494,28351,2021-08-05 20:19:04,10.7.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,6262.0,6262.0,108,https://pypi.org/project/rich,2011440,2011440,33,True,1,2194.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-08-24 15:23:38,2021-08-24 15:23:38,297,276,365,2531,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,124208.0,124208.0,103,https://pypi.org/project/joblib,28138426,28138426,33,True,1,1376.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-08-13 15:41:10,2021-07-25 18:46:47,265,12,169,4192,2021-07-24 16:06:08,0.19.0,5.0,Get and set values in your .env file in local and production servers.,139924.0,139924.0,71,https://pypi.org/project/python-dotenv,10264018,10264018,32,True,1,300.0,,-2.0
8,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-08-25 13:32:45,2021-08-20 15:10:24,216,157,382,1034,2021-07-27 14:52:59,1.3.1,100.0,The new Python SDK for Sentry.io.,13461.0,13461.0,100,https://pypi.org/project/sentry-sdk,8975958,8976090,32,True,2,1270.0,4490.0,
9,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-07-17 10:49:46,2021-07-17 10:49:37,425,53,387,9588,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,9497.0,9497.0,29,https://pypi.org/project/loguru,1489114,1489114,31,True,2,561.0,,
