,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-11-11 00:49:48,2021-11-11 00:49:47,1152,61,1201,11620,2021-10-10 18:08:47,8.0.3,9.0,Python composable command line interface toolkit.,652197.0,652197.0,312,https://pypi.org/project/click,96276909,96276909,37,True,1,,,
1,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-11-18 11:44:41,2021-10-12 09:58:53,378,220,367,1695,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,595438.0,595438.0,126,https://pypi.org/project/python-dateutil,205764707,205765140,36,True,1,1552.0,34646.0,
2,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-11-17 21:53:20,2021-11-17 11:08:46,323,310,1205,765,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,267100.0,267100.0,661,https://pypi.org/project/Pygments,30980846,30980846,36,True,2,5705.0,,
3,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-11-10 20:44:48,2021-11-05 23:24:45,595,62,380,7657,2021-10-24 22:20:00,1.2.1,42.0,Better dates & times for Python.,23122.0,23122.0,251,https://pypi.org/project/arrow,5426202,5426202,35,True,2,1341.0,,
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-11-18 16:28:42,2021-11-18 13:16:28,973,16,569,31003,2021-11-16 15:15:03,10.14.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,8543.0,8543.0,134,https://pypi.org/project/rich,2638206,2638206,33,True,2,2440.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-11-18 16:28:42,2021-11-18 13:16:28,973,16,569,31003,2021-11-16 15:15:03,10.14.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,8543.0,8543.0,134,https://pypi.org/project/rich,2638206,2638206,33,True,1,2440.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-11-08 20:50:44,2021-11-08 20:50:44,304,285,375,2607,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,142728.0,142728.0,106,https://pypi.org/project/joblib,29119620,29119620,33,True,1,1385.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-11-11 12:32:51,2021-11-11 12:25:19,277,15,175,4454,2021-11-11 12:35:25,0.19.2,7.0,Get and set values in your .env file in local and production servers.,166637.0,166637.0,71,https://pypi.org/project/python-dotenv,12737016,12737016,32,True,1,304.0,,-2.0
8,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,162,23,46,1114,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,18417.0,18417.0,46,https://pypi.org/project/python-json-logger,4379852,4379852,32,True,2,196.0,,
9,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-11-18 15:29:21,2021-11-17 13:37:34,239,175,398,1086,2021-11-17 13:10:28,1.5.0,100.0,The new Python SDK for Sentry.io.,15646.0,15646.0,109,https://pypi.org/project/sentry-sdk,11114441,11114561,32,True,2,1315.0,4476.0,
