,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-10-07 14:08:46,2021-10-06 00:44:37,1138,56,1173,11450,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,618121.0,618121.0,310,https://pypi.org/project/click,96221483,96221483,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-10-06 19:23:51,2021-10-06 19:23:51,311,308,1190,743,2021-08-15 10:57:14,2.10.0,18.0,Pygments is a generic syntax highlighter written in Python.,254616.0,254616.0,653,https://pypi.org/project/Pygments,30272405,30272405,36,True,2,5647.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-10-05 03:16:07,2021-10-05 03:16:07,582,60,375,7599,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,22229.0,22229.0,243,https://pypi.org/project/arrow,4912195,4912195,35,True,1,1327.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-08-31 12:00:17,2021-08-09 15:45:41,378,220,366,1665,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,569678.0,569678.0,125,https://pypi.org/project/python-dateutil,132070722,132071160,35,True,1,1549.0,34625.0,-1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-10-07 08:27:17,2021-10-06 13:09:37,910,14,528,29756,2021-10-06 13:09:30,10.12.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,7286.0,7286.0,117,https://pypi.org/project/rich,2146912,2146912,33,True,2,2292.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-10-07 08:27:17,2021-10-06 13:09:37,910,14,528,29756,2021-10-06 13:09:30,10.12.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,7286.0,7286.0,117,https://pypi.org/project/rich,2146912,2146912,33,True,1,2292.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-10-07 17:14:45,2021-10-07 14:41:27,299,284,371,2562,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,133149.0,133149.0,106,https://pypi.org/project/joblib,27042642,27042642,33,True,1,1382.0,,-2.0
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-08-13 15:41:10,2021-07-25 18:46:47,273,14,172,4343,2021-07-24 16:06:08,0.19.0,5.0,Get and set values in your .env file in local and production servers.,153430.0,153430.0,71,https://pypi.org/project/python-dotenv,11802142,11802142,32,True,1,300.0,,-2.0
8,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-10-04 03:00:37,2021-10-01 21:43:40,229,167,385,1051,2021-09-29 13:51:54,1.4.3,100.0,The new Python SDK for Sentry.io.,14538.0,14538.0,102,https://pypi.org/project/sentry-sdk,10325505,10325629,32,True,2,1301.0,4466.0,
9,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-09-09 07:14:10,2021-09-09 07:14:10,439,64,398,9929,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,10627.0,10627.0,30,https://pypi.org/project/loguru,1646463,1646463,31,True,2,562.0,,
10,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,159,20,46,1076,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,17640.0,17640.0,46,https://pypi.org/project/python-json-logger,3984412,3984412,31,True,2,196.0,,-1.0
11,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-09-30 17:11:13,2021-06-17 18:03:13,1165,93,142,20214,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,9229.0,9229.0,46,https://pypi.org/project/fire,1491701,1491701,30,True,3,259.0,,-2.0
12,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-10-07 14:50:14,2021-10-07 14:50:11,183,78,230,1948,2021-09-09 20:04:05,3.1.7,55.0,Configuration Management for Python.,1701.0,1701.0,72,https://pypi.org/project/dynaconf,478224,478224,30,True,2,563.0,,1.0
13,python-decouple,henriquebastos/python-decouple,python-decouple,config,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08,2021-09-30 20:49:23,2021-09-30 20:45:28,144,5,64,1902,2021-09-30 20:51:47,3.5,2.0,Strict separation of config from code.,47892.0,47892.0,27,https://pypi.org/project/python-decouple,569474,569474,30,True,2,166.0,1.0,1.0
14,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-10-02 03:59:57,2021-10-02 03:36:12,55,15,23,182,,,,pytz Python historical timezone library and database.,869150.0,869150.0,16,https://pypi.org/project/pytz,71589707,71589707,30,True,3,602.0,,-1.0
15,cloudpickle,cloudpipe/cloudpickle,cloudpickle,misc,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,,2015-04-13 16:33:00,2021-09-30 21:46:18,2021-09-23 05:18:40,112,59,140,1031,2021-09-14 07:30:48,2.0.0,10.0,Extended pickling support for Python objects.,41985.0,41985.0,48,https://pypi.org/project/cloudpickle,23677309,23677309,29,True,1,398.0,19.0,
16,parse,r1chardj0n3s/parse,parse,misc,https://github.com/r1chardj0n3s/parse,https://github.com/r1chardj0n3s/parse,MIT,2011-11-17 05:31:01,2021-06-04 05:53:29,2021-06-04 05:53:29,85,17,64,1322,2021-01-14 01:37:12,1.19.0,2.0,Parse strings using a specification based on the Python format() syntax.,9265.0,9265.0,30,https://pypi.org/project/parse,2216208,2216208,28,True,2,225.0,,-1.0
