,name,github_id,pypi_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,commit_count,github_release_downloads,trending
0,click,pallets/click,click,cli,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19,2021-08-05 16:48:11,2021-08-05 13:48:24,1116,58,1147,11176,2021-05-19 21:02:51,8.0.1,7.0,Python composable command line interface toolkit.,575793.0,575793.0,306,https://pypi.org/project/click,86065463,86065463,37,True,1,,,
1,pygments,pygments/pygments,Pygments,cli,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2019-08-31 15:46:03,2021-08-05 17:04:32,2021-07-31 06:08:29,295,301,1182,679,2021-05-03 15:20:07,2.9.0,17.0,Pygments is a generic syntax highlighter written in Python.,240090.0,240090.0,645,https://pypi.org/project/Pygments,27020225,27020225,36,True,2,5610.0,,
2,arrow,arrow-py/arrow,arrow,datetime,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27,2021-08-02 07:22:45,2021-08-02 07:22:45,573,55,371,7493,2021-06-24 15:05:35,1.1.1,40.0,Better dates & times for Python.,21055.0,21055.0,242,https://pypi.org/project/arrow,4252430,4252430,35,True,1,1305.0,,
3,dateutil,dateutil/dateutil,python-dateutil,datetime,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,,2014-11-19 18:56:16,2021-08-04 22:32:19,2021-08-02 15:16:48,367,215,363,1615,2021-07-14 08:18:11,2.8.2,18.0,Useful extensions to the standard Python datetime features.,534232.0,534232.0,125,https://pypi.org/project/python-dateutil,117206299,117206747,35,True,1,1546.0,34567.0,1.0
4,rich,willmcgugan/rich,rich,cli,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-05 16:43:54,2021-08-05 15:29:17,822,3,482,27779,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5769.0,5769.0,104,https://pypi.org/project/rich,1946059,1946059,33,True,2,2140.0,,
5,rich.logging,willmcgugan/rich,rich,debug,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09,2021-08-05 16:43:54,2021-08-05 15:29:17,822,3,482,27779,2021-07-12 18:23:29,10.6.0,100.0,Rich is a Python library for rich text and beautiful formatting in the terminal.,5769.0,5769.0,104,https://pypi.org/project/rich,1946059,1946059,33,True,1,2140.0,,
6,joblib.Memory,joblib/joblib,joblib,caching,https://github.com/joblib/joblib,https://joblib.readthedocs.io/en/latest/generated/joblib.Memory.html,BSD-3-Clause,2010-05-07 06:48:26,2021-07-10 10:38:06,2021-06-11 10:31:40,292,272,365,2509,,,,`joblib.Memory` defines a context object for caching a functions return value each time it is called with the same..,119871.0,119871.0,102,https://pypi.org/project/joblib,26831556,26831556,33,True,1,1375.0,,
7,python-dotenv,theskumar/python-dotenv,python-dotenv,config,https://github.com/theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,,2014-09-06 05:35:17,2021-07-30 23:31:08,2021-07-25 18:46:47,260,11,169,4103,2021-07-24 16:06:08,0.19.0,5.0,Get and set values in your .env file in local and production servers.,133471.0,133471.0,71,https://pypi.org/project/python-dotenv,10229676,10229676,32,True,1,300.0,,
8,sentry,getsentry/sentry-python,sentry-sdk,debug,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10,2021-08-02 03:00:30,2021-07-27 14:53:19,211,151,380,1017,2021-07-27 14:52:59,1.3.1,100.0,The new Python SDK for Sentry.io.,12970.0,12970.0,100,https://pypi.org/project/sentry-sdk,9114130,9114261,32,True,2,1269.0,4459.0,
9,loguru,Delgan/loguru,loguru,debug,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2021-07-17 10:49:46,2021-07-17 10:49:37,418,51,378,9454,2020-09-20 07:56:32,0.5.3,17.0,Python logging made (stupidly) simple.,8935.0,8935.0,29,https://pypi.org/project/loguru,1454182,1454182,31,True,2,561.0,,1.0
10,python-json-logger,madzak/python-json-logger,python-json-logger,debug,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26,2021-07-27 23:18:51,2021-07-27 23:18:45,150,19,45,1015,2021-07-27 23:08:24,2.0.2,5.0,Json Formatter for the standard python logger.,16377.0,16377.0,46,https://pypi.org/project/python-json-logger,3440301,3440301,31,True,2,196.0,,3.0
11,python-fire,google/python-fire,fire,cli,https://github.com/google/python-fire,https://github.com/google/python-fire,,2017-02-21 21:35:07,2021-07-07 20:21:19,2021-06-17 18:03:13,1147,87,141,19881,2021-01-22 18:12:10,0.4.0,8.0,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,8488.0,8488.0,46,https://pypi.org/project/fire,1316936,1316936,30,True,3,259.0,,
12,dynaconf,rochacbruno/dynaconf,dynaconf,config,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22,2021-08-04 20:21:00,2021-08-04 20:21:00,176,70,219,1839,2021-03-08 18:36:39,3.1.4,52.0,Configuration Management for Python.,1438.0,1438.0,69,https://pypi.org/project/dynaconf,372809,372809,29,True,2,543.0,,
13,parse,r1chardj0n3s/parse,parse,misc,https://github.com/r1chardj0n3s/parse,https://github.com/r1chardj0n3s/parse,MIT,2011-11-17 05:31:01,2021-06-04 05:53:29,2021-06-04 05:53:29,83,16,64,1286,2021-01-14 01:37:12,1.19.0,2.0,Parse strings using a specification based on the Python format() syntax.,8665.0,8665.0,30,https://pypi.org/project/parse,2254519,2254519,29,True,1,225.0,,
14,pytz,stub42/pytz,pytz,datetime,https://github.com/stub42/pytz,https://github.com/stub42/pytz,MIT,2016-07-12 12:22:30,2021-03-22 08:46:40,2021-03-22 08:36:34,54,16,22,174,,,,pytz Python historical timezone library and database.,811072.0,811072.0,16,https://pypi.org/project/pytz,69564518,69564518,29,True,3,589.0,,
15,python-decouple,henriquebastos/python-decouple,python-decouple,config,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08,2021-06-08 02:54:52,2021-06-05 16:32:27,140,7,56,1820,2021-01-05 14:38:53,3.4,1.0,Strict separation of config from code.,43353.0,43353.0,24,https://pypi.org/project/python-decouple,460544,460544,28,True,3,157.0,,1.0
16,cloudpickle,cloudpipe/cloudpickle,cloudpickle,misc,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,,2015-04-13 16:33:00,2021-08-01 10:06:34,2021-08-01 09:03:07,111,54,136,985,2018-05-14 16:52:50,0.4.4,9.0,Extended pickling support for Python objects.,39624.0,39624.0,47,https://pypi.org/project/cloudpickle,16755676,16755676,28,True,2,389.0,19.0,
17,boltons.cacheutils,mahmoud/boltons,boltons,caching,https://github.com/mahmoud/boltons,https://boltons.readthedocs.io/en/latest/cacheutils.html,,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,302,33,90,5509,2020-01-08 23:38:01,20.0.0,18.0,`boltons.cacheutils` contains consistent implementations of fundamental cache types.,1604.0,1604.0,72,https://pypi.org/project/boltons,1039014,1039014,27,True,2,1497.0,21.0,-1.0
18,boltons,mahmoud/boltons,boltons,misc,https://github.com/mahmoud/boltons,https://github.com/mahmoud/boltons,,2013-02-20 06:17:12,2021-05-19 17:03:44,2021-05-19 17:03:44,302,33,90,5509,2020-01-08 23:38:01,20.0.0,18.0,"Like builtins, but boltons. 250+ constructs, recipes, and snippets which extend (and rely on nothing but) the Python..",1604.0,1604.0,72,https://pypi.org/project/boltons,1039014,1039014,27,True,2,1497.0,21.0,-1.0
